timestamp,container_name,cpu_usage_percentage,memory_usage_mb,network_received_mb,network_sent_mb,disk_read_mb,disk_write_mb,runtime_seconds,code_execution_time_seconds
2024-11-30 14:22:05,Ubuntu20.04,1.08,27.67,0.42,0.01,0.0,0.0,1.04,0.04
2024-11-30 14:22:07,Debian11,7.18,67.27,8.11,0.01,0.0,0.0,1.94,0.05
